5000,57541,0.001298
6000,70664,0.001477
7000,83892,0.001570
8000,97252,0.001745
9000,111022,0.001992
10000,125077,0.002434
11000,139129,0.002500
12000,153356,0.002759
13000,167518,0.002992
14000,181874,0.003276
15000,196152,0.003514
16000,210479,0.003789
17000,225220,0.004029
18000,240102,0.004306
19000,255082,0.004571
20000,270149,0.005025
21000,285223,0.005147
22000,300343,0.005418
23000,315599,0.005756
24000,330746,0.006050
25000,345920,0.006306
26000,361173,0.006564
27000,376500,0.006858
28000,391738,0.007087
29000,407112,0.007385
30000,422405,0.007700
