5000,53437,0.000846
6000,65599,0.001041
7000,78171,0.001230
8000,90777,0.001426
9000,103687,0.001616
10000,116697,0.001950
11000,130009,0.002560
12000,143063,0.002515
13000,156721,0.002629
14000,170437,0.003354
15000,184183,0.003637
16000,197877,0.003813
17000,211679,0.003586
18000,225911,0.003409
19000,240439,0.003619
20000,254335,0.003817
21000,269109,0.004609
22000,282777,0.004842
23000,297913,0.004485
24000,311529,0.004986
25000,326587,0.004863
26000,340745,0.005090
27000,356385,0.005420
28000,370291,0.005496
29000,385597,0.005707
30000,399213,0.006162
